ID,Unit Name,Tier,Type,Type2,Race,Chassis,ThreatSpd,ThreatRange,ThreatDam,ThreatHP,ThreatTotal,tSurfDPS,tSubDPS,tAirDPS,totDPS,maxRange,Vision,Shield,Health,Mass,Energy,BuildTime,Speed,Warnings
UAA0206,Abolisher,2,Type,Type2,Aeon,Chassis,0,0.55727002085428,3.75,4.8076923076923,9.1149623285466,75,0,0,75,28,26,0,1250,355,16500,355,0.5,
UAB2306,Anachronon,3,Type,Type2,Aeon,Chassis,0,29.721067778895,15,24.038461538462,68.759529317357,300,0,0,300,65,36,0,6250,2080,22000,2080,0,
UAL0108,Artos,1,Type,Type2,Aeon,Chassis,0.16040088766922,0.20804747445227,2.2,0.80769230769231,3.3761406698138,44,0,0,44,32,20,0,210,75,550,75,3.2,
UAL0204,Predator,2,Type,Type2,Aeon,Chassis,3.8757510761503,5.8946784428142,7,2.8846153846154,19.65504490358,140,0,0,140,42,26,0,750,320,3850,320,4,
UAL0310,Vindicator,3,Type,Type2,Aeon,Chassis,0,0,0,9.6153846153846,9.6153846153846,0,0,300,302,55,32,0,2500,900,13500,900,2.6,
UAL0402,Overlord,4,Type,Type2,Aeon,Chassis,0,143.65430435364,140.01,230.76923076923,514.43353512287,2800.2,0,183.33333333333,2983.5333333333,60,38,0,60000,23000,395000,23000,2.6,
UEB2306,Brimstone,3,Type,Type2,UEF,Chassis,0,64.845966063044,32.727272727273,28.846153846154,126.41939263647,654.54545454545,0,0,654.54545454545,65,38,0,7500,2400,22000,2400,0,
UEL0107,Caiman,1,Type,Type2,UEF,Chassis,0.28364851234486,0.32780589462017,1.3235294117647,0.92307692307692,2.8580607418067,26.470588235294,0,0,26.470588235294,30,20,0,240,75,600,75,3.4,
UEL0108,Crusher,1,Type,Type2,UEF,Chassis,0,0,2.2,1.7307692307692,3.9307692307692,44,0,0,44,23,23,0,450,130,600,130,3,
UEL0402,Rampage,4,Type,Type2,UEF,Chassis,19.363588364165,79.061578514216,90.352240896359,140.38461538462,329.16202315935,1807.0448179272,132,0,1939.0448179272,55,34,0,36500,14000,350000,14000,3.4,
UES0206,Barnacle,2,Type,Type2,UEF,Chassis,0,0,0,1.9230769230769,1.9230769230769,0,3000,0,3000,3,4,0,500,200,30000,200,0.5,
URB2306,Beholder,3,Type,Type2,Cybran,Chassis,0,35.087371683418,25.833333333333,25,85.920705016751,516.66666666667,0,0,516.66666666667,65,36,0,6500,2250,22000,2250,0,
URL0305,Crawfish,3,Type,Type2,Cybran,Chassis,0.65618544955592,1.3374480500503,9,8.6538461538462,19.647479653452,180,0,0,180,28,28,0,2250,725,7250,725,3.2,
XEL0308,Hermes,3,Type,Type2,UEF,Chassis,0,0,3.75,11.346153846154,15.096153846154,75,0,360,435,55,32,0,2950,1000,10500,1000,2.5,
XSA0201,Shyeld,2,Type,Type2,Aeon,Chassis,0,0,0,0.038461538461538,0.038461538461538,0,0,0,0,0,10,0,10,450,4800,450,0.7,
EAL0001,Armored Command Unit,0,Type,Type2,Aeon,Chassis,0,402.49446445113,626.69416666667,117.30769230769,1146.4963234255,12533.883333333,1903,10166.666666667,14454.530392157,100,26,0,30500,18000,1000000,18000,1.5,MuzzleSalvoSize_Overridden,
EEA0002,Spy Satellite,0,Type,Type2,UEF,Chassis,0,0,0,3.8461538461538,3.8461538461538,0,0,0,0,0,45,0,1000,800,8000,800,4.5,
EEL0001,Armored Command Unit,0,Type,Type2,UEF,Chassis,0,17523.973554701,2328.9750645995,127.69230769231,19980.640926993,46579.50129199,1385,10422.222222222,47964.50129199,256,26,0,33200,18000,1000000,18000,1.5,
ERL0001,Armored Command Unit,0,Type,Type2,Cybran,Chassis,0,475.82665847686,1118.000625,115.38461538462,1709.2118988615,22360.0125,1763.4615384615,13950,24573.474038462,60,26,0,30000,18000,1000000,18000,1.5,
ESB0001,Lambda Emitter,3,Type,Type2,Seraphim,Chassis,0,0,0,0.0038461538461538,0.0038461538461538,0,0,0,0,0,0,0,1,175,1000,175,0,
ESB0002,Lambda Emitter,3,Type,Type2,Seraphim,Chassis,0,0,0,0.0038461538461538,0.0038461538461538,0,0,0,0,0,0,0,1,175,1000,175,0,
ESB0003,Lambda Emitter,3,Type,Type2,Seraphim,Chassis,0,0,0,0.0038461538461538,0.0038461538461538,0,0,0,0,0,0,0,1,175,1000,175,0,
ESB0004,Lambda Emitter,3,Type,Type2,Seraphim,Chassis,0,0,0,0.0038461538461538,0.0038461538461538,0,0,0,0,0,0,0,1,175,1000,175,0,
ESB0005,Lambda Emitter,3,Type,Type2,Seraphim,Chassis,0,0,0,0.0038461538461538,0.0038461538461538,0,0,0,0,0,0,0,1,175,1000,175,10,
ESL0001,Armored Command Unit,0,Type,Type2,Seraphim,Chassis,0,292.87635540453,768.33333333333,121.15384615385,1182.3635348917,15366.666666667,1400,10416.666666667,17016.666666667,60,26,0,31500,18000,1000000,18000,1.5,
UAB4302,None,0,Type,Type2,none,Chassis,0,0,0,0,0,0,0,100,100,75,0,0,0,0,0,0,0,Unknown Type,
UEB4302,None,0,Type,Type2,none,Chassis,0,0,0,0,0,0,0,100,100,75,0,0,0,0,0,0,0,Unknown Type,
URB4302,None,0,Type,Type2,none,Chassis,0,0,0,0,0,0,0,100,100,75,0,0,0,0,0,0,0,Unknown Type,
XSB4302,None,0,Type,Type2,none,Chassis,0,0,0,0,0,0,0,100,100,75,0,0,0,0,0,0,0,Unknown Type,
BAB0001,Anti-Teleport Emitter,0,Type,Type2,Aeon,Chassis,0,0,0,0.0038461538461538,0.0038461538461538,0,0,0,0,0,0,0,1,175,1000,175,0,
BAB0003,Anti-Teleport Emitter,0,Type,Type2,Aeon,Chassis,0,0,0,0.0038461538461538,0.0038461538461538,0,0,0,0,0,0,0,1,175,1000,175,0,
BAB0004,Anti-Teleport Emitter,0,Type,Type2,Aeon,Chassis,0,0,0,0.0038461538461538,0.0038461538461538,0,0,0,0,0,0,0,1,175,1000,175,0,
BAB1106,Mass & Energy Storage,3,Type,Type2,Aeon,Chassis,0,0,0,27.692307692308,27.692307692308,0,0,0,0,0,0,0,7200,2400,14400,2400,0,
BAB1202,Improved Hydrocarbon Plant,2,Type,Type2,Aeon,Chassis,0,0,0,14.615384615385,14.615384615385,0,0,0,0,0,0,0,3800,1750,21000,1750,0,
BAB1302,Advanced Hydrocarbon Plant,3,Type,Type2,Aeon,Chassis,0,0,0,40.769230769231,40.769230769231,0,0,0,0,0,0,0,10600,4250,64250,4250,0,
BAB2303,Archangel,2,Type,Type2,Aeon,Chassis,0,9.2878336809047,4.6875,8.4615384615385,22.436872142443,93.75,0,0,93.75,65,30,0,2200,2000,20000,2000,0,
BAB2306,Aria,3,Type,Type2,Aeon,Chassis,0,21.399168800804,13.5,21.153846153846,56.053014954651,270,0,0,270,57,36,0,5500,1650,16500,1650,0,
BAB2308,Purifier,3,Type,Type2,Aeon,Chassis,0,1056.2410241423,92.307692307692,17.307692307692,1165.8564087577,1846.1538461538,0,0,1846.1538461538,256,24,0,4500,7400,125500,7400,0,
BAB4209,Quantum Wake Generator,2,Type,Type2,Aeon,Chassis,0,0,0,2.9807692307692,2.9807692307692,0,0,0,0,0,0,0,775,665,13125,665,0,
BAB4307,Purger,3,Type,Type2,Aeon,Chassis,0,0,0,12.307692307692,12.307692307692,0,0,0,3,50,32,0,3200,1800,27000,1800,0,
BAB4309,Quantum Wake Generator,3,Type,Type2,Aeon,Chassis,0,0,0,4.6153846153846,4.6153846153846,0,0,0,0,0,0,0,1200,1950,39375,1950,0,
BAL0110,Requiem,1,Type,Type2,Aeon,Chassis,0.41843017565859,0.52011868613066,1.5,0.28846153846154,2.7270104002508,30,0,0,30,32,28,0,75,72,650,72,3.5,
BAL0206,Zealot,2,Type,Type2,Aeon,Chassis,0,0,2.7,3.0769230769231,5.7769230769231,54,0,0,54,24,21,0,800,180,900,180,3,
BAL0310,Wraith,3,Type,Type2,Aeon,Chassis,0,20.603175989872,23.549783549784,19.230769230769,63.383728770425,470.99567099567,0,0,470.99567099567,48,30,0,5000,1375,15000,1375,2.9,
BAL0401,Inquisitor,4,Type,Type2,Aeon,Chassis,0,20.43323409799,37.5,169.23076923077,227.16400332876,750,0,0,750,142,44,0,44000,18500,420000,18500,2.8,
BAL0402,Genesis,4,Type,Type2,Aeon,Chassis,14.464912544166,299.80001323938,99.242424242424,184.61538461538,598.12273464136,1984.8484848485,0,0,2066.6666666667,128,36,0,48000,19000,350000,19000,3.3,
BAL0403,Interrogater,4,Type,Type2,Aeon,Chassis,0,163.67371241874,36.713286713287,182.69230769231,383.07930682433,734.26573426573,0,0,734.26573426573,115,40,0,47500,21000,300000,21000,2.3,MuzzleSalvoSize_Overridden,
BALK003,Redeemer,3,Type,Type2,Aeon,Chassis,0,0,0,9.6153846153846,9.6153846153846,0,0,100,100,44,32,0,2500,720,8000,720,3.5,MuzzleSalvoSize_Overridden,
BEA0402,Citadel Mk.2,4,Type,Type2,UEF,Chassis,153.63898149203,235.34132169588,128.6,265.19230769231,782.77261088022,2572,0,3464,4364,80,50,0,68950,50000,1050000,50000,6,
BEA0403,Citadel Mk.1,4,Type,Type2,UEF,Chassis,109.0956374426,167.62682227297,72,250,598.72245971557,1440,0,879,2319,72,42,0,65000,46960,845000,46960,8,
BEB0001,Citadel II Airpad,0,Type,Type2,UEF,Chassis,0,0,0,1.9230769230769,1.9230769230769,0,0,0,0,0,0,0,500,1,1,1,0,
BEB0002,Citadel I Airpad,0,Type,Type2,UEF,Chassis,0,0,0,1.9230769230769,1.9230769230769,0,0,0,0,0,0,0,500,1,1,1,0,
BEB0003,Advanced Anti-Teleport Emitter,0,Type,Type2,UEF,Chassis,0,0,0,0.0038461538461538,0.0038461538461538,0,0,0,0,0,0,0,1,175,1000,175,0,
BEB0004,Standard AntiTeleport Emitter,0,Type,Type2,UEF,Chassis,0,0,0,0.0038461538461538,0.0038461538461538,0,0,0,0,0,0,0,1,175,1000,175,0,
BEB0005,The Kennel,3,Type,Type2,UEF,Chassis,0,0,0,11.538461538462,11.538461538462,0,0,0,0,0,15,0,3000,500,2500,500,0,
BEB1106,Mass & Energy Storage,3,Type,Type2,UEF,Chassis,0,0,0,27.692307692308,27.692307692308,0,0,0,0,0,0,0,7200,2400,18000,2400,0,
